Molecule,SMILES
GalNAc-ol,OC[C@@H]([C@H]([C@H]([C@@H](CO)O)O)O)NC(C)=O
LegNAcAla,C[C@H]([C@H]([C@H]1[C@@H]([C@H](C[C@](O)(O1)C(OC([C@@H](C)N)=O)=O)O)NC(C)=O)N)O
QuiNBut,C[C@@H]1[C@@H](O)[C@H](O)[C@@H](NC(CCC)=O)C(O)O1
ManOLac,OC(O1)[C@@H](OC(C(O)C)=O)[C@@H](O)[C@H](O)[C@H]1CO
GalOSOMeA,OC1O[C@@H]([C@@H]([C@@H]([C@H]1O)OC)O)C(OS(O)(=O)=O)=O
GlcOPA,O[C@H]1C(O)O[C@H](C(O)=O)[C@@H](O)[C@@H]1OP(O)(O)=O
GalNAcOAcAN,OC1O[C@H](C(N)=O)[C@H](O)[C@H](OC(C)=O)[C@H]1NC(C)=O
GalNFoAN,OC1O[C@H](C(N)=O)[C@H](O)[C@H](O)[C@H]1NC([H])=O
ArafOFer,OC(O1)[C@H](OC(/C=C/C2=CC(OC)=C(O)C=C2)=O)[C@@H](O)[C@@H]1CO
D-FucNAcNMe,C[C@@H]1[C@H](NC)[C@H](O)[C@@H](NC(C)=O)C(O)O1
GalNAla,OC(O1)[C@H](N)[C@@H](O)[C@@H](OC([C@H](N)C)=O)[C@H]1CO
LDManHepOPOCm,OC1O[C@@H]([C@H]([C@@H]([C@@H]1OC(N)=O)O)O)[C@@H](O)COP(O)(O)=O
LDManHepOPOPEtn,OC1O[C@@H]([C@H]([C@@H]([C@@H]1O)O)OP(O)(O)=O)[C@@H](OP(OCCN)(O)=O)CO
Gal-ol,OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO
GalNAcOP,OC(O1)[C@H](NC(C)=O)[C@@H](O)[C@@H](O)[C@H]1COP(O)(O)=O
L-Ery,OC1[C@@H](O)[C@@H](O)CO1
QuiNAcNAlaAc,C[C@@H]1[C@@H](OC([C@@H](NC(C)=O)C)=O)[C@H](N)[C@@H](NC(C)=O)C(O)O1
GalAAla,OC1O[C@H](C(O)=O)[C@H](O)[C@H](O)[C@H]1OC([C@@H](N)C)=O
L-ThrHexOMeA4en,OC1[C@H](OC)[C@@H](O)C(O)=C(C(O)=O)O1
AltOMeA,OC1O[C@@H](C(O)=O)[C@H](O)[C@H](O)[C@H]1OC
L-6dAraHexOMe,CC1[C@H](O)[C@H](O)[C@@H](OC)C(O)O1
RibfOAc,OC(O1)[C@H](OC(C)=O)[C@H](O)[C@H]1CO
Kdof,OC[C@H]([C@H]([C@@H]1OC(O)(C(O)=O)C[C@@H]1O)O)O
GulNAcA,OC1O[C@H](C(O)=O)[C@H](O)[C@@H](O)[C@H]1NC(C)=O
GlcNMeOCmOPam,OC(O1)[C@H](NC)[C@@H](OC(N)=O)[C@H](OC(CCCCCCCCCCCCCCC)=O)[C@H]1CO
FucOSOMe,C[C@H]1[C@@H](O)[C@@H](OS(=O)(O)=O)[C@H](OC)C(O)O1
D-ApifOAc,OC1[C@@H](OC(C)=O)[C@@](CO)(O)CO1
GlcNBut,OC(O1)[C@H](NC(CCC)=O)[C@@H](O)[C@H](O)[C@H]1CO
RhaOLac,C[C@H]1[C@H](O)[C@@H](O)[C@@H](OC(C(O)C)=O)C(O)O1
ManNAcOAcA,OC1O[C@H](C(O)=O)[C@@H](OC(C)=O)[C@H](O)[C@@H]1NC(C)=O
L-Cym,O[C@@H]1C[C@@H](OC)[C@@H](O)[C@H](C)O1
Fucf,C[C@@H]([C@@H]1[C@H]([C@@H](C(O1)O)O)O)O
L-Gal,OC(O1)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1CO
L-DigOMe,C[C@H]1[C@H](O)[C@H](OC)CC(O)O1
L-AcoOMe,C[C@H]1[C@H](O)[C@@H](OC)[C@@H](OC)C(O)O1
D-Fuc-ol,OC[C@@H]([C@H]([C@H]([C@@H](C)O)O)O)O
ManNAcOPGro,OC(O1)[C@@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H]1COP(OCC(O)CO)(O)=O
"2,7-Anhydro-Kdo",OC[C@H]1O[C@@H](C(O)=O)C[C@@H](O)[C@@H](O)[C@H]1O
FucOPOMe,C[C@H]1[C@@H](OP(O)(O)=O)[C@@H](O)[C@H](OC)C(O)O1
D-RibHex,OC(O1)[C@H](O)[C@H](O)[C@H](O)C1CO
GlcOPEtnN,OC(O1)[C@H](N)[C@@H](O)[C@H](O)[C@H]1COP(OCCN)(O)=O
GlcNMeOVac,OC(O1)[C@H](NC)[C@@H](O)[C@H](OC(CCCCCCCCC/C=C/CCCCCC)=O)[C@H]1CO
GlcNAcGro,OC(O1)[C@H](NC(C)=O)[C@@H](O)[C@H](OCC(O)CO)[C@H]1CO
"3,6-Anhydro-Glc",O=C[C@H](O)[C@@H]1[C@H](O)[C@H](O)CO1
LDManHepOCm,OC(O1)[C@@H](OC(N)=O)[C@@H](O)[C@H](O)[C@H]1[C@@H](O)CO
KdnOMe,O=C(C1(O[C@H]([C@@H]([C@H](C1)O)O)[C@@H]([C@@H](CO)O)O)O)OC
D-RhaOFoN,C[C@@H]1[C@@H](OC=O)[C@H](O)[C@H](N)C(O)O1
6dAltOAc,C[C@H]1[C@H](OC(C)=O)[C@H](O)[C@@H](O)C(O)O1
6dAlt,C[C@H]1[C@H](O)[C@H](O)[C@@H](O)C(O)O1
GlcOSOEt,OC(O1)[C@H](O)[C@@H](OS(=O)(O)=O)[C@H](O)[C@H]1COCC
ManCMe,OC(O1)[C@@H](O)[C@@H](CC)[C@H](O)[C@H]1CO
GlcOAcOPGro,OC(O1)[C@H](OC(C)=O)[C@@H](O)[C@H](O)[C@H]1COP(OCC(O)CO)(O)=O
QuiNAcN,C[C@@H]1[C@H]([C@@H]([C@H](C(O1)O)NC(C)=O)N)O
L-ThrHexAN4en,OC1[C@H](N)[C@@H](O)C(O)=C(C(O)=O)O1
LLManNonUloOFoN-onic,OC1([C@@H]([C@@H]([C@H]([C@@H](O1)[C@H](C(CO)O)O)N)O)O)C(OC=O)=O
GalNAcN,OC(O1)[C@H](O)[C@@H](N)[C@@H](NC(C)=O)[C@H]1CO
LyxHexOMe,OC(O1)[C@@H](O)[C@@H](OC)[C@H](O)C1CO
L-Gro-onic,OC[C@H](O)C(O)=O
D-4dThrHexA4en,OC1[C@@H](O)[C@H](O)C=C(C(O)=O)O1
GlcNMeOCmOSte,OC(O1)[C@H](NC)[C@@H](OC(N)=O)[C@H](OC(CCCCCCCCCCCCCCCCC)=O)[C@H]1CO
GlcNSOSOMe,OC(O1)[C@H](NS(=O)(O)=O)[C@@H](O)[C@H](OC)[C@H]1COS(O)(=O)=O
D-FucOAcN,C[C@@H]1[C@H](OC(C)=O)[C@H](O)[C@@H](N)C(O)O1
LDGalNonUloNAc-onic,OC1([C@@H]([C@H]([C@H]([C@H](O1)[C@H](C(CO)O)O)NC(C)=O)O)O)C(O)=O
Ido,OC(O1)[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO
PseNAcNAc,C[C@H](O)[C@H](NC(C)=O)[C@H]1[C@@H](NC(C)=O)[C@@H](O)C[C@](O1)(C(O)=O)O
IdoOSOMeA,OC1O[C@H]([C@H]([C@@H]([C@H]1OS(O)(=O)=O)OC)O)C(O)=O
GalNAcGro,OC(O1)[C@H](NC(C)=O)[C@@H](O)[C@@H](OCC(O)CO)[C@H]1CO
GalALys,OC(O1)[C@H](OC([C@@H](N)CCCCN)=O)[C@@H](O)[C@@H](O)[C@H]1C(O)=O
GalNAcOMe,OC(O1)[C@H](NC(C)=O)[C@@H](O)[C@@H](O)[C@H]1COC
D-6dLyxHexOMe,CC1[C@@H](O)[C@H](O)[C@H](OC)C(O)O1
D-6dTalOAc,C[C@@H]1[C@H](O)[C@H](O)[C@H](OC(C)=O)C(O)O1
4dAraHex,O[C@@H]1[C@@H](O)C(O)O[C@@H](CO)C1
GlcNOPam,OC(O1)[C@H](N)[C@@H](O)[C@H](OC(CCCCCCCCCCCCCCC)=O)[C@H]1CO
8eLeg,C[C@H](O)[C@@H](N)[C@H]1[C@H](N)[C@@H](O)C[C@](C(O)=O)(O)O1
KdoOMe,O=C(C1(O[C@@H]([C@@H]([C@@H](C1)O)O)[C@@H](CO)O)O)OC
L-XylHex,OC1OC(CO)[C@H](O)[C@@H](O)[C@@H]1O
D-FucOMeOCoum,C[C@@H]1[C@H](OC(/C=C/C2=CC=C(O)C=C2)=O)[C@H](O)[C@@H](OC)C(O)O1
DDManHepOPGroA,OC1O[C@H]([C@@H](CO)O)[C@@H](O)[C@H](OP(OCC(O)C(O)=O)(O)=O)[C@@H]1O
KdoOPPEtnN,O=C(O)C1(O)O[C@H]([C@H](O)CN)[C@H](O)[C@H](OP(OP(OCCN)(O)=O)(O)=O)C1
FucNAcNMe,C[C@H]1[C@H]([C@H]([C@@H](C(O1)O)NC(C)=O)O)NC
L-4dThre-ol,C[C@H](O)[C@@H](O)CO
D-3dXylHexOMe,OC(O1)[C@H](O)C[C@@H](O)[C@H]1CO
Apif,OC1[C@H](O)[C@](CO)(O)CO1
GlcOPEtn,OC1O[C@H](COP(OCCN)(O)=O)[C@@H](O)[C@H](O)[C@H]1O
QuiNAspAc,C[C@@H]1[C@@H](O)[C@H](N)[C@@H](OC([C@@H](NC(C)=O)CC(O)=O)=O)C(O)O1
Thr,OC1[C@@H](O)[C@H](O)CO1
GalNAcOPGro,OC1O[C@H](COP(OCC(O)CO)(O)=O)[C@H](O)[C@H](O)[C@H]1NC(C)=O
Thre-ol,OC[C@H](O)[C@@H](O)CO
ManF,OC(O1)[C@@H](F)[C@@H](O)[C@H](O)[C@H]1CO
D-6dTal,C[C@@H]1[C@H](O)[C@H](O)[C@H](O)C(O)O1
FrufOFer,OC(O1)(COC(/C=C/C2=CC(OC)=C(O)C=C2)=O)[C@@H](O)[C@H](O)[C@H]1CO
D-RhaNAc,C[C@@H]1[C@@H](NC(C)=O)[C@H](O)[C@H](O)C(O)O1
LDManHepOEtn,OC1O[C@H]([C@H](CO)OCCN)[C@@H](O)[C@H](O)[C@@H]1O
L-CymOAc,O[C@@H]1C[C@@H](OC)[C@@H](OC(C)=O)[C@H](C)O1
KdoN,O=C(O)C1(O)O[C@H]([C@H](O)CN)[C@H](O)[C@H](O)C1
ManNBut,OC1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1NC(CCC)=O
AllN,OC(O1)[C@H](N)[C@H](O)[C@H](O)[C@H]1CO
KdoOPGro,O=C(O)C1(O)O[C@H]([C@H](O)CO)[C@H](O)[C@H](OP(OCC(O)CO)(O)=O)C1
GlcNAmA,OC1O[C@@H]([C@H]([C@@H]([C@H]1NC(C)=N)O)O)C(O)=O
QuiNAcOPGro,C[C@@H]1[C@@H](OP(OCC(O)CO)(O)=O)[C@H](O)[C@@H](NC(C)=O)C(O)O1
HepOPPEtn,OC(O1)C(O)C(O)C(OP(OP(OCCN)(O)=O)(O)=O)C1C(O)CO
GlcNOCmOVac,OC(O1)[C@H](N)[C@@H](OC(N)=O)[C@H](OC(CCCCCCCCC/C=C/CCCCCC)=O)[C@H]1CO
FucNAm,C[C@H]1[C@@H](O)[C@@H](O)[C@H](NC(C)=N)C(O)O1
RhaCl,C[C@H]1[C@H](O)[C@@H](O)[C@@H](Cl)C(O)O1
Lyx,OC1[C@@H](O)[C@@H](O)[C@H](O)CO1
OliNAc,C[C@@H]1[C@@H](O)[C@H](NC(C)=O)CC(O)O1
DDManNonUloNAcOFoN-onic,OC1([C@H]([C@H]([C@@H]([C@H](O1)[C@@H](C(CO)O)NC(C)=O)N)O)O)C(OC=O)=O
Dha,O=C(O)C1(O)O[C@H](C(O)=O)[C@H](O)[C@H](O)C1
KdoOAcOS,O=C(C1(O[C@@H]([C@@H]([C@@H](C1)OS(=O)(O)=O)O)[C@@H](CO)O)O)OC(C)=O
GlcOPPEtnN,OC(O1)[C@H](N)[C@@H](O)[C@H](OP(OP(OCCN)(O)=O)(O)=O)[C@H]1CO
GalOAcOMe,OC1O[C@H](COC(C)=O)[C@H](O)[C@H](OC)[C@H]1O
D-FucOAcNBut,C[C@@H]1[C@H](OC(C)=O)[C@H](O)[C@@H](NC(CCC)=O)C(O)O1
"3,6-Anhydro-Gal",O=C[C@H](O)[C@@H]1[C@@H](O)[C@H](O)CO1
FucOAcOMe,C[C@H]1[C@H]([C@H]([C@@H](C(O1)O)OC)O)OC(C)=O
GlcNAcOGc,OC(O1)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H]1COC(CO)=O
GlcOSOMe,OC(O1)[C@H](O)[C@@H](OC)[C@H](O)[C@H]1COS(=O)(O)=O
IdoOMeA,OC1O[C@@H](C(O)=O)[C@@H](O)[C@H](O)[C@H]1OC
"2,5-Anhydro-Tal-ol",O[C@H]1[C@H](O[C@@H]([C@H]1O)CO)CO
GlcNAcN-ol,OC[C@H](NC(C)=O)[C@@H](O)[C@H](N)[C@H](O)CO
KoOPEtn,O=C(C1(O)O[C@H]([C@@H](CO)OP(OCCN)(O)=O)[C@H](O)[C@H](O)[C@@H]1O)O
ManOPyr,OC1O[C@H]2[C@H]([C@@H]([C@@H]1O)O)OC(OC2)C(C)=O
L-4dThrHexA4en,OC1[C@H](O)[C@@H](O)C=C(C(O)=O)O1
D-RhaCMe,C[C@@H]1[C@@H](O)[C@H](O)[C@H](CC)C(O)O1
GalOPCho,OC(O1)[C@H](O)[C@@H](O)[C@@H](O)[C@H]1COP(OCC[N+](C)(C)C)(O)=O
"4,8-Anhydro-Kdo",OC(C(C[C@@H]1[C@H]([C@H]([C@@H](CO1)O)O)O)=O)=O
GlcOAcOP,OC(O1)[C@H](O)[C@@H](O)[C@H](OC(C)=O)[C@H]1COP(O)(O)=O
GlcOPOOle,OC(O1)[C@H](OC(CCCCCCC/C=C/CCCCCCCC)=O)[C@@H](O)[C@H](O)[C@H]1COP(O)(O)=O
GlcNAcOPGro,OC(O1)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H]1COP(OCC(O)CO)(O)=O
FrufOBzOCoum,OC(O1)(COC(C2=CC=CC=C2)=O)[C@@H](OC(/C=C/C3=CC=C(O)C=C3)=O)[C@H](O)[C@H]1CO
RhaNAc,C[C@H]1[C@H](O)[C@@H](O)[C@@H](NC(C)=O)C(O)O1
RhaNAcOAc,C[C@H]1[C@H](OC(C)=O)[C@@H](O)[C@@H](NC(C)=O)C(O)O1
GlcNAcANAlaFo,OC(O1)[C@H](NC(C)=O)[C@@H](N)[C@H](OC([C@@H](NC=O)C)=O)[C@H]1C(O)=O
Pse,C[C@H](O)[C@H](N)[C@H]1[C@@H](N)[C@@H](O)C[C@](C(O)=O)(O)O1
GlcOPCho,OC(O1)[C@H](O)[C@@H](O)[C@H](O)[C@H]1COP(OCC[N+](C)(C)C)(O)=O
ManOPGro,OC(O1)[C@@H](O)[C@@H](O)[C@H](O)[C@H]1COP(OCC(O)CO)(O)=O
L-GlcOMe,OC(O1)[C@@H](OC)[C@H](O)[C@@H](O)[C@@H]1CO
D-ThrHexAN4en,OC1[C@@H](N)[C@H](O)C(O)=C(C(O)=O)O1
Bac,C[C@@H]1[C@@H](N)[C@H](O)[C@@H](N)C(O)O1
PseNAcNFo,C[C@H](O)[C@H](NC=O)[C@H]1[C@@H](NC(C)=O)[C@@H](O)C[C@](C(O)=O)(O)O1
L-Qui,C[C@H]1[C@H](O)[C@@H](O)[C@H](O)C(O)O1
GlcNOOle,OC(O1)[C@H](N)[C@@H](O)[C@H](OC(CCCCCCC/C=C/CCCCCCCC)=O)[C@H]1CO
DigOAc,C[C@@H]1[C@@H](O)[C@@H](OC(C)=O)CC(O)O1
NeuNAcN,O=C(N)C1(O)O[C@@H]([C@H](O)[C@H](O)CO)[C@H](NC(C)=O)[C@@H](O)C1
ManA,O[C@@H]1C(O[C@@H]([C@H]([C@@H]1O)O)C(O)=O)O
GlcNAcNButA,OC1O[C@H](C(O)=O)[C@@H](NC(CCC)=O)[C@H](O)[C@H]1NC(C)=O
FucOAcNAm,C[C@H]1[C@H]([C@H]([C@@H](C(O1)O)NC(C)=N)O)OC(C)=O
ManNAcOAc,OC(O1)[C@@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H]1COC(C)=O
D-2dAraHexA,O[C@@H]1CC(O)O[C@H](C(O)=O)[C@H]1O
Kdo-ol,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CC(O)CO
GlcASer,OC(O[C@@H]([C@H]([C@@H]1O)O)C(O)=O)[C@@H]1OC([C@H](CO)N)=O
DDManHepOP,OC1O[C@H]([C@@H](CO)O)[C@@H](O)[C@H](OP(O)(O)=O)[C@@H]1O
D-FucNButGro,C[C@@H]1[C@H](OCC(O)CO)[C@H](O)[C@@H](NC(CCC)=O)C(O)O1
L-ManOctUlo-onic,OC1([C@@H]([C@@H]([C@H]([C@@H](O1)C(O)CO)O)O)O)C(O)=O
Tal,OC(O1)[C@@H](O)[C@@H](O)[C@@H](O)[C@H]1CO
D-FucOAc,C[C@@H]1[C@H](OC(C)=O)[C@H](O)[C@@H](O)C(O)O1
XylOS,OC1[C@H](O)[C@@H](O)[C@H](OS(=O)(O)=O)CO1
RibOPGro-ol,OC[C@H](O)[C@H](O)[C@H](O)COP(OCC(O)CO)(O)=O
D-RhaN,C[C@@H]1[C@@H](N)[C@H](O)[C@H](O)C(O)O1
GlcOLac,OC(O1)[C@H](OC(C(O)C)=O)[C@@H](O)[C@H](O)[C@H]1CO
AraHexA,OC1OC(C(O)=O)[C@H](O)[C@H](O)[C@H]1O
QuiNFo,C[C@@H]1[C@@H](O)[C@H](O)[C@@H](NC=O)C(O)O1
GalNAcAN,OC1O[C@@H]([C@@H]([C@@H]([C@H]1NC(C)=O)O)O)C(N)=O
GlcAThr,C[C@@H](O)[C@H](N)C(O[C@H]1C(O[C@@H]([C@H]([C@@H]1O)O)C(O)=O)O)=O
GalOLac,OC(O1)[C@H](OC(C(O)C)=O)[C@@H](O)[C@@H](O)[C@H]1CO
DDManHepOBut,OC(O1)[C@@H](OC(CCC)=O)[C@@H](O)[C@H](O)[C@H]1[C@H](O)CO
GalOPEtnN,OC(O1)[C@H](N)[C@@H](O)[C@@H](O)[C@H]1COP(OCCN)(O)=O
GlcOPNOMyr,OC(O1)[C@H](N)[C@@H](O)[C@H](OC(CCCCCCCCCCCCC)=O)[C@H]1COP(O)(O)=O
D-6dTalOMe,C[C@@H]1[C@H](O)[C@H](OC)[C@H](O)C(O)O1
The,C[C@@H]1[C@@H](O)[C@H](OC)[C@@H](O)C(O)O1
GalNAmA,OC1O[C@@H]([C@@H]([C@@H]([C@H]1NC(C)=N)O)O)C(O)=O
RhaOProp,C[C@H]1[C@H](O)[C@@H](O)[C@@H](OC(CC)=O)C(O)O1
GlcOGc,OC(O1)[C@H](OC(CO)=O)[C@@H](O)[C@H](O)[C@H]1CO
GlcNOMyr,OC(O1)[C@H](N)[C@@H](O)[C@H](OC(CCCCCCCCCCCCC)=O)[C@H]1CO
D-ApifOMe,OC1[C@@H](OC)[C@@](CO)(O)CO1
Sedf,OC1(CO)[C@@H](O)[C@H](O)[C@@H]([C@H](O)CO)O1
KdnOAc,O=C(O)C1(O)O[C@@H]([C@H](O)[C@H](O)CO)[C@H](OC(C)=O)[C@@H](O)C1
QuiNButAla,C[C@@H]1[C@@H](OC([C@H](N)C)=O)[C@H](O)[C@@H](NC(CCC)=O)C(O)O1
L-Glc,OC(O1)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1CO
HepOPEtn,OC(O1)C(O)C(O)C(O)C1C(OP(OCCN)(O)=O)CO
NeuNAcNMe,O=C(NC)C1(O)O[C@@H]([C@H](O)[C@H](O)CO)[C@H](NC(C)=O)[C@@H](O)C1
NeuNGcA,O=C(C1(O[C@H]([C@@H]([C@H](C1)O)NC(CO)=O)[C@@H]([C@@H](C(O)=O)O)O)O)O
D-FucOMeOFer,C[C@@H]1[C@H](OC(/C=C/C2=CC=C(O)C(OC)=C2)=O)[C@H](O)[C@@H](OC)C(O)O1
NeuOFo,O=C(C1(O[C@H]([C@@H]([C@H](C1)O)N)[C@@H]([C@@H](CO)O)O)O)OC=O
GalAThr,C[C@@H](O)[C@H](N)C(O[C@H]1C(O[C@@H]([C@@H]([C@@H]1O)O)C(O)=O)O)=O
L-GulNAcOAcA,OC1O[C@@H](C(O)=O)[C@@H](O)[C@H](OC(C)=O)[C@@H]1NC(C)=O
ManNAcAThr,C[C@@H](O)[C@H](N)C(O[C@@H]([C@@H]1O)[C@@H](C(O)=O)OC(O)[C@H]1NC(C)=O)=O
GlcNAcOPyr,OC1O[C@@H]2COC(C(C)=O)OC2[C@@H]([C@H]1NC(C)=O)O
KdoOAc,O=C(C1(O[C@@H]([C@@H]([C@@H](C1)O)O)[C@@H](CO)O)O)OC(C)=O
Asc,OC1[C@H](O)C[C@@H](O)[C@H](C)O1
GlcOSin,OC(O1)[C@H](OC(/C=C/C2=CC(OC)=C(O)C(OC)=C2)=O)[C@@H](O)[C@H](O)[C@H]1CO
GalNAcOAcOP,OC1O[C@H](COP(O)(O)=O)[C@H](OC(C)=O)[C@H](O)[C@H]1NC(C)=O
ManNAcGroA,OC1O[C@H](CO)[C@@H](OC(C(O)CO)=O)[C@H](O)[C@@H]1NC(C)=O
L-GulAN,N[C@@H]1C(O)O[C@@H](C(O)=O)[C@@H](O)[C@@H]1O
ApiOMe-ol,OCC([C@H](OC)CO)(O)CO
XylHexUloN,OCC1(N)[C@@H](O)[C@H](O)[C@@H](O)CO1
D-Thre-ol,OC[C@@H](O)[C@H](O)CO
FucOAcNBut,C[C@H]1[C@@H](OC(C)=O)[C@@H](O)[C@H](NC(CCC)=O)C(O)O1
L-GulNAcANEtn,OC1O[C@@H](C(O)=O)[C@@H](OCCN)[C@H](N)[C@@H]1NC(C)=O
GlcAAla,OC(O[C@@H]([C@H]([C@@H]1O)O)C(O)=O)[C@@H]1OC([C@@H](N)C)=O
GalNCysGly,SC[C@H](N)C(O[C@H]1[C@@H](OC(CN)=O)[C@@H](CO)OC(O)[C@@H]1N)=O
HexA,OC(O1)C(O)C(O)C(O)C1C(O)=O
"2,5-Anhydro-D-Alt",O[C@@H]1[C@@H](CO)O[C@H](C=O)[C@@H]1O
ManNAcAAla,OC(O1)[C@@H](NC(C)=O)[C@@H](O)[C@H](OC([C@H](N)C)=O)[C@H]1C(O)=O
LDManNonUloOFoNN-onic,OC1([C@H]([C@H]([C@@H]([C@H](O1)[C@H](C(CO)O)N)N)O)O)C(OC=O)=O
L-GulHep,OC(O1)[C@@H](O)[C@@H](O)[C@H](O)[C@@H]1C(O)CO
D-ThrPen,OC1[C@@H](O)[C@H](O)C(O)CO1
D-IdoA,O[C@@H]1C(O)O[C@H](C(O)=O)[C@H](O)[C@H]1O
D-6dAraHexNAc,CC1[C@@H](O)[C@@H](O)[C@H](NC(C)=O)C(O)O1
GlcNAcNAmA,OC1O[C@@H]([C@H]([C@@H]([C@H]1NC(C)=O)O)NC(C)=N)C(O)=O
D-6dXylHexNAc4Ulo,C[C@@H](O)C([C@H](O)[C@@H](NC(C)=O)C=O)=O
GlcOMeNOMyr,OC(O1)[C@H](N)[C@@H](OC)[C@H](OC(CCCCCCCCCCCCC)=O)[C@H]1CO
GalAAlaLys,OC(O1)[C@H](OC([C@@H](N)C)=O)[C@@H](O)[C@@H](OC([C@@H](N)CCCCN)=O)[C@H]1C(O)=O
D-ThrHexA4en,OC1[C@@H](O)[C@H](O)C(O)=C(C(O)=O)O1
"3,6-Anhydro-Fruf",OC1(O2)[C@@H](O)[C@H](OC1)[C@H]2CO
"3,6-Anhydro-GalOS",O=C[C@@H]([C@@H]1[C@H]([C@@H](CO1)O)O)OS(=O)(O)=O
EryHex2en,OC1C(O)=C(O)[C@H](O)[C@@H](CO)O1
Ery-onic,OC[C@@H](O)[C@@H](O)C(O)=O
AraHepUloNAc-onic,OC1(C(O)=O)[C@H](O)[C@@H](O)[C@@H](NC(C)=O)C(CO)O1
L-RibHex,OC(O1)[C@@H](O)[C@@H](O)[C@@H](O)C1CO
ApiOAc,OC1[C@H](OC(C)=O)[C@](CO)(O)CO1
GalNAcOPGroAN,OC1O[C@H](COP(OCC(C(O)=O)N)(O)=O)[C@H](O)[C@H](O)[C@H]1NC(C)=O
GalfOPyr,OC1O[C@@H]2[C@H](OC(C(C)=O)O[C@@H]2CO)[C@H]1O
ArafOCoum,OC(O1)[C@H](OC(/C=C/C2=CC=C(O)C=C2)=O)[C@@H](O)[C@@H]1CO
FrufOAcOBzOCoum,OC(O1)(COC(C)=O)[C@@H](OC(C2=CC=CC=C2)=O)[C@H](OC(/C=C/C3=CC=C(O)C=C3)=O)[C@H]1CO
1dEry-ol,C[C@H](O)[C@H](O)CO
ManNAcOPyr,OC1O[C@H]2[C@H]([C@@H]([C@@H]1NC(C)=O)O)OC(OC2)C(C)=O
GlcNCmOCm,OC(O1)[C@H](NC(N)=O)[C@@H](O)[C@H](OC(N)=O)[C@H]1CO
GlcOAcGroA,OC1O[C@@H]([C@H]([C@@H]([C@H]1OC(C)=O)O)OC(C(CO)O)=O)CO
L-XylOMe,OC1[C@@H](O)[C@H](OC)[C@@H](O)CO1
"1,4-Anhydro-Kdo",OC[C@H]([C@H]([C@@H]([C@H]1CC(CO1)=O)O)O)O
GalNFoA,OC1O[C@H](C(O)=O)[C@H](O)[C@H](O)[C@H]1NC([H])=O
GlcNAcOAcA,OC1O[C@@H]([C@H]([C@@H]([C@H]1NC(C)=O)O)O)C(OC(C)=O)=O
GlcOAcNOVac,OC(O1)[C@H](N)[C@@H](OC(C)=O)[C@H](OC(CCCCCCCCC/C=C/CCCCCC)=O)[C@H]1CO
GlcOMeN,OC(O1)[C@H](N)[C@@H](O)[C@H](O)[C@H]1COC
GulNAcOAcA,OC1O[C@H](C(O)=O)[C@H](OC(C)=O)[C@@H](O)[C@H]1NC(C)=O
NeuNGcOMe,O=C(O)C1(O)O[C@@H]([C@H](O)[C@H](OC)CO)[C@H](NC(CO)=O)[C@@H](O)C1
LDManHepGroN,OC1O[C@H]([C@H](CO)O)[C@@H](O)[C@H](O)[C@@H]1OCC(N)CO
D-7dLyxOctUlosonic,O[C@H]1[C@@H](C(OC(O)([C@H]1O)C(O)=O)CCO)O
LegNAc,C[C@@H](O)[C@@H](N)[C@H]1[C@H](NC(C)=O)[C@@H](O)C[C@](C(O)=O)(O)O1
RhaOPEtn,C[C@H]1[C@H](O)[C@@H](O)[C@@H](OP(O)(OCCN)=O)C(O)O1
FucNAla,C[C@H]1[C@@H](OC([C@H](N)C)=O)[C@@H](O)[C@H](N)C(O)O1
D-4dThrHexAN4en,OC1[C@@H](N)[C@H](O)C=C(C(O)=O)O1
L-QuiN,C[C@H]1[C@H](N)[C@@H](O)[C@H](O)C(O)O1
L-GalOS,OC(O1)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1COS(=O)(O)=O
NeuOMe,O=C(C1(O[C@H]([C@@H]([C@H](C1)O)N)[C@@H]([C@@H](CO)OC)O)O)O
L-6dGulHep,OC(O1)[C@@H](O)[C@@H](O)[C@H](O)[C@@H]1CCO
D-3dThrPen,OC1[C@@H](O)C[C@H](O)CO1
Fru,OCC1(O)[C@@H](O)[C@H](O)[C@H](O)CO1
KdoOPN,O=C(O)C1(O)O[C@H]([C@H](O)CN)[C@H](O)[C@H](OP(O)(O)=O)C1
XylOP,OC1[C@H](OP(O)(O)=O)[C@@H](O)[C@H](O)CO1
GlcOPOPGro,OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1OP(O)(OCC(O)CO)=O
Hexf,OC(O1)C(O)C(O)C1C(O)CO
DDGlcHep,OC(O1)[C@H](O)[C@@H](O)[C@H](O)[C@H]1[C@H](O)CO
