Molecule,SMILES
GalGro,OC(O1)[C@H](OCC(O)CO)[C@@H](O)[C@@H](O)[C@H]1CO
Col,C[C@H]1[C@@H](O)C[C@H](O)C(O)O1
KdoOP,O=C(O)C1(O)O[C@H]([C@H](O)CO)[C@H](O)[C@H](OP(O)(O)=O)C1
ManOAc,OC(O1)[C@@H](OC(C)=O)[C@@H](O)[C@H](O)[C@H]1CO
GlcOAc,OC(O1)[C@H](O)[C@@H](O)[C@H](O)[C@H]1COC(C)=O
QuiOMe,C[C@@H]1[C@@H](O)[C@H](O)[C@@H](OC)C(O)O1
D-6dAraHexOMe,CC1[C@@H](O)[C@@H](O)[C@H](OC)C(O)O1
QuiNAlaAc,C[C@@H]1[C@H]([C@@H]([C@H](C(O1)O)OC([C@H](C)NC(C)=O)=O)N)O
GalNAcA,OC1O[C@H](C(O)=O)[C@H](O)[C@H](O)[C@H]1NC(C)=O
GalNAcOAc,OC(O1)[C@H](NC(C)=O)[C@@H](OC(C)=O)[C@@H](O)[C@H]1CO
GlcOP,OC(O1)[C@H](O)[C@@H](O)[C@H](O)[C@H]1COP(O)(O)=O
GlcNAcOP,OC(O1)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H]1COP(O)(O)=O
Ribf,OC(O1)[C@H](O)[C@H](O)[C@H]1CO
KdoOPEtn,O=C(O)C1(O)O[C@H]([C@H](OP(OCC(O)CO)(O)=O)CO)[C@H](O)[C@H](O)C1
LDManHepOP,OC1O[C@H]([C@H](CO)O)[C@@H](OP(O)(O)=O)[C@H](O)[C@@H]1O
LDManHepOPPEtn,OC1O[C@H]([C@H](CO)O)[C@@H](OP(OP(OCCN)(O)=O)(O)=O)[C@H](O)[C@@H]1O
GlcNSOS,OC(O1)[C@H](NS(=O)(O)=O)[C@@H](O)[C@H](O)[C@H]1COS(=O)(O)=O
GlcOSN,OC(O1)[C@H](N)[C@@H](OS(=O)(O)=O)[C@H](O)[C@H]1CO
IdoOSA,OC1O[C@@H](C(O)=O)[C@@H](O)[C@H](O)[C@H]1OS(O)(=O)=O
GlcNS,OC(O1)[C@H](NS(=O)(O)=O)[C@@H](O)[C@H](O)[C@H]1CO
LDManNonUloNAcOFoN-onic,OC1([C@H]([C@H]([C@@H]([C@H](O1)[C@H](C(CO)O)NC(C)=O)N)O)O)C(OC=O)=O
D-FucNAc,C[C@@H]1[C@H](O)[C@H](O)[C@@H](NC(C)=O)C(O)O1
GlcAOPyr,OC1O[C@@H]2C(OC(O[C@H]2[C@H](O)[C@H]1O)C(C)=O)=O
DigOFo,C[C@@H]1[C@@H](O)[C@@H](OC=O)CC(O)O1
GalOSOEt,OC(O1)[C@H](O)[C@@H](OS(=O)(O)=O)[C@@H](O)[C@H]1COCC
IdoOSOEtA,OC1O[C@@H](C(O)=O)[C@@H](O)[C@H](OCC)[C@H]1OS(O)(=O)=O
D-FucNAlaAc,C[C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)N)O)OC([C@H](C)NC(C)=O)=O
GlcNAc-ol,OC[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO
GlcAGroN,OC(O[C@@H]([C@H]([C@@H]1O)O)C(O)=O)[C@@H]1OCC(N)CO
GalOPyr,OC1O[C@H]2[C@@H]([C@@H]([C@H]1O)O)OC(C(C)=O)OC2
FucOAc,C[C@H]1[C@H]([C@H]([C@@H](C(O1)O)OC(C)=O)O)O
Glc-ol,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
GlcOMeAN,O[C@H]1C(O)O[C@H](C(N)=O)[C@@H](OC)[C@@H]1O
Neu,O=C(O)C1(O)O[C@@H]([C@H](O)[C@H](O)CO)[C@H](N)[C@@H](O)C1
GlcF,OC(O1)[C@H](F)[C@@H](O)[C@H](O)[C@H]1CO
GlcOAcOCoum,OC(O1)[C@H](OC(C)=O)[C@@H](O)[C@H](OC(/C=C/C2=CC=C(O)C=C2)=O)[C@H]1CO
FrufOBzOFer,OC(O1)(COC(C2=CC=CC=C2)=O)[C@@H](OC(/C=C/C3=CC(OC)=C(O)C=C3)=O)[C@H](O)[C@H]1CO
PseOAcOFo,C[C@@H]([C@@H]([C@H]1[C@H]([C@H](C[C@](C(OC(C)=O)=O)(O)O1)OC=O)N)N)O
D-FucfNAc,C[C@@H](O)[C@H]1[C@H](O)[C@@H](NC(C)=O)C(O)O1
PseOFo,C[C@@H]([C@@H]([C@H]1[C@H]([C@H](C[C@](O)(O1)C(OC=O)=O)O)N)N)O
"2,3-Anhydro-All",O[C@@H](O1)[C@H](O2)[C@H]2[C@H](O)[C@H]1CO
D-FucN,C[C@@H]1[C@H](O)[C@H](O)[C@@H](N)C(O)O1
LDManHepOPEtn,OC1O[C@@H]([C@H]([C@@H]([C@@H]1O)O)O)[C@@H](OP(OCCN)(O)=O)CO
Qui,C[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)C(O)O1
GlcOMe,OC1O[C@H](COC)[C@@H](O)[C@H](O)[C@H]1O
L-EryHexA4en,OC1[C@@H](O)[C@@H](O)C(O)=C(CO)O1
L-GulA,O[C@@H]1C(O)O[C@@H](C(O)=O)[C@@H](O)[C@@H]1O
ManOMe,OC(O1)[C@@H](O)[C@@H](OC)[C@H](O)[C@H]1CO
Ara,OC1[C@H](O)[C@@H](O)[C@@H](O)CO1
NeuNAcOAc,O=C(O)C1(O)O[C@@H]([C@H](O)[C@H](O)COC(C)=O)[C@H](NC(C)=O)[C@@H](O)C1
GlcNAcOPOAch,OC(O1)[C@H](NC(C)=O)[C@@H](O)[C@H](OC(CCCCCCCCCCCCCCCCCCC)=O)[C@H]1COP(O)(O)=O
GlcNAcOAc,OC(O1)[C@H](NC(C)=O)[C@@H](OC(C)=O)[C@H](O)[C@H]1CO
GalOAcA,O[C@H]1C(O)O[C@H](C(O)=O)[C@H](OC(C)=O)[C@@H]1O
D-RhaGro,C[C@@H]1[C@@H](O)[C@H](O)[C@H](OCC(O)CO)C(O)O1
AbeOAc,C[C@@H]1[C@H](O)C[C@@H](OC(C)=O)C(O)O1
Hex,OC(O1)C(O)C(O)C(O)C1CO
L-GulOAcA,OC1O[C@@H](C(O)=O)[C@@H](O)[C@H](O)[C@@H]1OC(C)=O
ManOAcA,OC1O[C@H](C(O)=O)[C@@H](O)[C@H](O)[C@@H]1OC(C)=O
D-Araf,OC(O1)[C@@H](O)[C@H](O)[C@H]1CO
D-Ara,OC1[C@@H](O)[C@H](O)[C@H](O)CO1
LDManHepOPOPPEtn,OC1O[C@H]([C@H](CO)O)[C@@H](OP(O)(O)=O)[C@H](O)[C@@H]1OP(OP(OCCN)(O)=O)(O)=O
ManOAep,OC1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1OP(CCN)(O)=O
GlcNOAep,OC(O1)[C@H](N)[C@@H](O)[C@H](OP(CCN)(O)=O)[C@H]1CO
6dTalOAc,C[C@H]1[C@@H](O)[C@@H](O)[C@@H](OC(C)=O)C(O)O1
GlcOS,OC(O1)[C@H](O)[C@@H](O)[C@H](O)[C@H]1COS(=O)(O)=O
GlcNAcOAcNAla,OC1O[C@H](COC([C@H](N)C)=O)[C@@H](N)[C@H](OC(C)=O)[C@H]1NC(C)=O
ManNAcNAmA,OC1O[C@@H]([C@H]([C@@H]([C@@H]1OC(C)=O)NC(C)=N)O)C(O)=O
QuiNAc-ol,OC[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)C
L-Thr,OC1[C@H](O)[C@@H](O)CO1
Kdn,O=C(O)C1(O)O[C@@H]([C@H](O)[C@H](O)CO)[C@H](O)[C@@H](O)C1
XylOMe,OC1[C@H](OC)[C@@H](O)[C@H](O)CO1
RhaOMe,C[C@H]1[C@H](O)[C@@H](O)[C@@H](OC)C(O)O1
GlcOMe-ol,OC[C@@H]([C@H]([C@@H]([C@@H](COC)O)O)O)O
GalfOAc,OC(O1)[C@H](OC(C)=O)[C@@H](O)[C@@H]1[C@H](O)CO
Hep,OC(O1)C(O)C(O)C(O)C1C(O)CO
GlcNAcOPCho,OC(O1)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H]1COP(OCC[N+](C)(C)C)(O)=O
GlcNMe,OC(O1)[C@H](O)[C@@H](O)[C@H](O)[C@H]1CNC
Xyl-onic,OC[C@@H](O)[C@H](O)[C@@H](O)C(O)=O
GlcNMeOCmOVac,OC(O1)[C@H](NC)[C@@H](OC(N)=O)[C@H](OC(CCCCCCCCC/C=C/CCCCCC)=O)[C@H]1CO
GlcOFer,OC(O1)[C@H](OC(/C=C/C2=CC=C(O)C(OC)=C2)=O)[C@@H](O)[C@H](O)[C@H]1CO
FrufOAcOFer,OC(O1)(COC(C)=O)[C@@H](OC(/C=C/C2=CC(OC)=C(O)C=C2)=O)[C@H](O)[C@H]1CO
GlcOAcA,OC1O[C@H](C(O)=O)[C@@H](O)[C@H](O)[C@H]1OC(C)=O
GalOPEtnA,O[C@H]1C(O)O[C@H](C(O)=O)[C@H](OP(OCCN)(O)=O)[C@@H]1O
